"variant","n","bias","MAE","RMSE","MAPE","nMAE_mean","nMAE_peak"
"OLS, load weights",8649,-80.6604710138142,847.994260504459,1185.97102651587,6.60956674935932,4.57703496662248,2.11160614769241
"OLS, pop weights",8649,-68.6131061196886,845.401746832469,1181.29787829287,6.58045599190944,4.56304191704561,2.1051504815839
"OLS, perfect weather",8649,-97.35438909783,837.975379868645,1167.00237473967,6.5113763894859,4.52295822444117,2.08665794824234
"GBM, load weights",8649,3.87273189423995,783.78941509685,1071.04819780911,5.79899116151088,4.23049037765039,1.95172847800901
"GBM, pop weights",8649,-11.5845078731374,780.240414286198,1074.43823810215,5.7834558571576,4.21133470459517,1.94289104563597
"GBM, perfect weather",8649,-28.436893716154,775.300688940277,1062.39550780311,5.86187222513564,4.18467261891036,1.93059054444843
