"label","n","bias","MAE","RMSE","MAPE","nMAE_mean","nMAE_peak","vs_caiso_pct"
"CAISO day-ahead",8649,-2420.90633590126,2561.32611581108,3969.76253229416,23.8815814061974,13.8247152592951,6.37800539967611,0
"Seasonal naive",8649,-22.5694069672795,2325.62549989825,3220.12467699917,15.1375292657813,12.5525250913502,5.79108294895065,-9.2
"Hour-of-day bias corr.",8649,-744.648206151033,1248.48999545293,1983.52542318626,11.0681656650362,6.73870405828809,3.10888796365505,-51.3
"OLS (no CAISO input)",8649,-301.416535413217,1660.99647850635,2230.05178793144,10.9050108253269,8.96520096378694,4.13607796498878,-35.2
"OLS + CAISO x hour",8649,-481.834853036026,947.625529314253,1347.45144795085,7.07621447604525,5.11479308875897,2.35969980766129,-63
"OLS + CAISO + trend",8649,-80.6604710138142,847.994260504459,1185.97102651587,6.60956674935932,4.57703496662248,2.11160614769241,-66.9
"Gradient boosting",8649,3.87273189423995,783.78941509685,1071.04819780911,5.79899116151088,4.23049037765039,1.95172847800901,-69.4
